주차장관리번호,공영주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,급지구분,월정기권요금(주간),월정기권요금(야간),이용대수(주간),이용대수(야간),월정기권총수입,월정기권대기자수,결제방법,특기사항,관리기관명,전화번호,위도,경도,데이터기준일자
230-2-000001,중리천로,공영,노외,경기도 이천시 중리천로 38,경기도 이천시 중리동 180-2,34,1,60000,0,0,0,0,0,카드,"국가유공자100퍼센트 감면, 경차/저공해차량/장애인차량 등 50퍼센트 감면, 공휴일 무료 운영",이천시시설관리공단,031-635-2070,37.2802784,127.4422167,2023-04-30
230-2-000002,북샛말,공영,노외,경기도 이천시 이섭대천로 1299,경기도 이천시 창전동 443-26,177,2,50000,30000,112,116,2415000,0,카드,"국가유공자100퍼센트 감면, 경차/저공해차량/장애인차량 등 50퍼센트 감면, 공휴일 무료 운영",이천시시설관리공단,031-635-2070,37.28615123,127.4484668,2023-04-30
230-2-000003,서희청소년문화센터,공영,노외,이천시 영창로 260,경기도 이천시 창전동 504번지,196,1,60000,36000,44,60,2525000,0,카드,"국가유공자100퍼센트 감면, 경차/저공해차량/장애인차량 등 50퍼센트 감면, 공휴일 무료 운영",이천시시설관리공단,031-635-2070,37.1647,127.2705,2023-04-30
230-2-000004,택시쉼터,공영,노외,이천시 설봉로 122,이천시 창전동 417번지,231,2,50000,30000,86,98,1720000,0,카드,"국가유공자100퍼센트 감면, 경차/저공해차량/장애인차량 등 50퍼센트 감면, 공휴일 무료 운영",이천시시설관리공단,031-635-2070,37.171,127.2626,2023-04-30
230-2-00005,공설운동장,공영,노외,이천시 서희로 11,이천시 중리동 ,466,2,50000,30000,330,141,10076900,39,카드,"국가유공자100퍼센트 감면, 경차/저공해차량/장애인차량 등 50퍼센트 감면, 공휴일 무료 운영",이천시시설관리공단,031-635-2070,37.277,127.4408,2023-04-30
230-2-000001,중리천로,공영,노외,경기도 이천시 중리천로 38,경기도 이천시 중리동 180-2,34,1,60000,0,0,0,0,0,카드,"국가유공자100퍼센트 감면, 경차/저공해차량/장애인차량 등 50퍼센트 감면, 공휴일 무료 운영",이천시시설관리공단,031-635-2070,37.2802784,127.4422167,2023-03-31
230-2-000002,북샛말,공영,노외,경기도 이천시 이섭대천로 1299,경기도 이천시 창전동 443-26,177,2,50000,30000,110,115,4390000,0,카드,"국가유공자100퍼센트 감면, 경차/저공해차량/장애인차량 등 50퍼센트 감면, 공휴일 무료 운영",이천시시설관리공단,031-635-2070,37.28615123,127.4484668,2023-03-31
230-2-000003,서희청소년문화센터,공영,노외,이천시 영창로 260,경기도 이천시 창전동 504번지,196,1,60000,36000,74,64,3048000,0,카드,"국가유공자100퍼센트 감면, 경차/저공해차량/장애인차량 등 50퍼센트 감면, 공휴일 무료 운영",이천시시설관리공단,031-635-2070,37.1647,127.2705,2023-03-31
230-2-000004,택시쉼터,공영,노외,이천시 설봉로 122,이천시 창전동 417번지,231,2,50000,30000,83,99,3290000,0,카드,"국가유공자100퍼센트 감면, 경차/저공해차량/장애인차량 등 50퍼센트 감면, 공휴일 무료 운영",이천시시설관리공단,031-635-2070,37.171,127.2626,2023-03-31
230-2-00005,공설운동장,공영,노외,이천시 서희로 11,이천시 중리동 ,466,2,50000,30000,330,132,30800000,31,카드,"국가유공자100퍼센트 감면, 경차/저공해차량/장애인차량 등 50퍼센트 감면, 공휴일 무료 운영",이천시시설관리공단,031-635-2070,37.277,127.4408,2023-03-31
230-2-000001,중리천로,공영,노외,경기도 이천시 중리천로 38,경기도 이천시 중리동 180-2,34,1,60000,0,0,0,0,0,카드,"국가유공자100퍼센트 감면, 경차/저공해차량/장애인차량 등 50퍼센트 감면, 공휴일 무료 운영",이천시시설관리공단,031-635-2070,37.2802784,127.4422167,2023-02-28
230-2-000002,북샛말,공영,노외,경기도 이천시 이섭대천로 1299,경기도 이천시 창전동 443-26,177,2,50000,30000,107,111,2670000,0,카드,"국가유공자100퍼센트 감면, 경차/저공해차량/장애인차량 등 50퍼센트 감면, 공휴일 무료 운영",이천시시설관리공단,031-635-2070,37.28615123,127.4484668,2023-02-28
230-2-000003,서희청소년문화센터,공영,노외,이천시 영창로 260,경기도 이천시 창전동 504번지,196,1,60000,36000,67,58,2448000,0,카드,"국가유공자100퍼센트 감면, 경차/저공해차량/장애인차량 등 50퍼센트 감면, 공휴일 무료 운영",이천시시설관리공단,031-635-2070,37.1647,127.2705,2023-02-28
